route,t,pax,revenue,records,fare_unweighted,dl,nw,dl_any,nw_any,dl_direct,nw_direct,legacy,direct_pax,distance,unknown_pax,fare,lnfare,direct_share,dl_active,nw_active,legacy_active,both_active,group,pax_pre,fare_pre,direct,distance_pre,treated,yr,qtr
BUF-SAN,2,1123,200711.99986267093,22,175.3315984552557,41,241,87,242,0,0,184,21,2195,0,178.72840593292156,5.185867368306819,0.018699910952804988,0,1,1,False,overlap,1124.75,194.10755204888207,0.09138126332298202,2195.0,1,2005,2
BUF-SAN,3,1140,206213.00013732916,25,171.1782434082031,53,265,137,268,0,0,177,10,2195,0,180.88859661169224,5.197881353441932,0.008771929824561403,0,1,1,False,overlap,1124.75,194.10755204888207,0.09138126332298202,2195.0,1,2005,3
BUF-SAN,4,986,178390.002029419,24,217.1493136088054,107,97,197,117,0,0,158,12,2195,0,180.9229229507292,5.198071100518982,0.012170385395537525,1,1,1,True,overlap,1124.75,194.10755204888207,0.09138126332298202,2195.0,1,2005,4
BUF-SAN,5,935,168650.00065612796,25,187.46491638183593,108,96,163,105,0,0,117,9,2195,0,180.37433225254327,5.19503431509158,0.009625668449197862,1,1,1,True,overlap,1124.75,194.10755204888207,0.09138126332298202,2195.0,1,2006,1
BUF-SAN,6,1080,208816.99868774408,32,192.34424066543576,89,149,203,159,0,13,173,15,2195,0,193.3490728590223,5.264497222898402,0.013888888888888888,1,1,1,True,overlap,1124.75,194.10755204888207,0.09138126332298202,2195.0,1,2006,2
BUF-SAN,7,1203,255163.99920654309,27,227.66644061053248,168,146,336,147,0,11,193,12,2195,0,212.10640000543899,5.357088035587056,0.00997506234413965,1,1,1,True,overlap,1124.75,194.10755204888207,0.09138126332298202,2195.0,1,2006,3
BUF-SAN,8,941,193344.99984741202,27,227.58138755515762,81,133,164,134,0,0,170,1,2195,0,205.4675875105335,5.325288296486822,0.0010626992561105207,1,1,1,True,overlap,1124.75,194.10755204888207,0.09138126332298202,2195.0,1,2006,4
BUF-SAN,9,899,170601.0006256104,25,188.7291979980469,60,37,178,38,0,0,94,20,2195,0,189.76752016196932,5.245799744882726,0.02224694104560623,1,0,1,False,overlap,1124.75,194.10755204888207,0.09138126332298202,2195.0,1,2007,1
BUF-SAN,10,1078,224325.99795532232,36,251.77553049723306,66,166,174,168,0,0,164,115,2195,0,208.0946177693157,5.337992869390518,0.10667903525046382,1,1,1,True,overlap,1124.75,194.10755204888207,0.09138126332298202,2195.0,1,2007,2
BUF-SAN,11,1284,243450.00028991693,31,215.3465832125756,96,108,277,108,0,0,180,170,2195,0,189.60280396410977,5.244931378551809,0.13239875389408098,1,1,1,True,overlap,1124.75,194.10755204888207,0.09138126332298202,2195.0,1,2007,3
BUF-SAN,12,1238,233938.9996795653,27,211.8869476318359,75,66,232,66,0,0,186,129,2195,0,188.96526630013352,5.241563221980959,0.10420032310177706,1,1,1,True,overlap,1124.75,194.10755204888207,0.09138126332298202,2195.0,1,2007,4
BUF-SAN,13,942,182574.99882507324,31,207.0193771854523,79,23,190,23,0,0,135,59,2195,0,193.81634694806075,5.266911045476637,0.06263269639065817,1,0,1,False,overlap,1124.75,194.10755204888207,0.09138126332298202,2195.0,1,2008,1
BUF-SAN,14,1170,246636.00123596212,30,216.41254882812504,77,209,217,210,0,0,164,84,2195,0,210.80000105637788,5.350909821678488,0.07179487179487179,1,1,1,True,overlap,1124.75,194.10755204888207,0.09138126332298202,2195.0,1,2008,2
BUF-SAN,15,1314,283550.00161743164,28,217.205931527274,109,117,265,119,0,0,172,88,2195,0,215.79147763883685,5.374312560101838,0.0669710806697108,1,1,1,True,overlap,1124.75,194.10755204888207,0.09138126332298202,2195.0,1,2008,3
BUF-SAN,16,1097,227895.00270843512,25,203.176184387207,166,63,246,66,0,0,161,164,2195,0,207.74384932400648,5.3363058271553205,0.14949863263445762,1,1,1,True,overlap,1124.75,194.10755204888207,0.09138126332298202,2195.0,1,2008,4
BUF-SAN,17,1074,182566.00009155282,27,163.2487835354275,81,52,148,73,0,0,146,117,2195,0,169.98696470349424,5.135721755895597,0.10893854748603352,1,0,1,False,overlap,1124.75,194.10755204888207,0.09138126332298202,2195.0,1,2009,1
BUF-SAN,18,1156,202027.9980926513,26,173.9988561776968,130,108,183,123,0,0,139,216,2195,0,174.76470423239732,5.16344052196538,0.18685121107266436,1,1,1,True,overlap,1124.75,194.10755204888207,0.09138126332298202,2195.0,1,2009,2
BUF-SAN,19,1378,259278.00093841538,25,186.4032705688477,180,34,220,42,0,0,210,209,2195,0,188.15529821365413,5.237267676162794,0.1516690856313498,1,0,1,False,overlap,1124.75,194.10755204888207,0.09138126332298202,2195.0,1,2009,3
BUF-SAN,20,1088,219938.0022735595,34,208.83402835621553,89,68,122,88,0,0,185,224,2195,0,202.1488991484922,5.309004550355861,0.20588235294117646,1,1,1,True,overlap,1124.75,194.10755204888207,0.09138126332298202,2195.0,1,2009,4
BUF-SAN,21,1013,191453.000656128,30,212.75341746012373,94,7,171,7,0,0,119,168,2195,0,188.99605198038302,5.241726125848782,0.16584402764067127,1,0,1,False,overlap,1124.75,194.10755204888207,0.09138126332298202,2195.0,1,2010,1
BUF-SAN,22,1144,230933.99980163568,28,197.31960351126534,125,1,264,1,0,0,149,78,2195,0,201.86538444198922,5.307601061595405,0.06818181818181818,1,0,1,False,overlap,1124.75,194.10755204888207,0.09138126332298202,2195.0,1,2010,2
BUF-SAN,23,1205,265735.9961090088,32,226.0259580612183,167,0,278,0,0,0,190,22,2195,0,220.52779760083718,5.396023753158172,0.018257261410788383,1,0,1,False,overlap,1124.75,194.10755204888207,0.09138126332298202,2195.0,1,2010,3
BUF-SAN,24,1057,230422.99781799334,29,221.43327278926458,127,0,210,0,0,0,134,67,2195,0,217.9971597142794,5.384482033870633,0.06338694418164617,1,0,1,False,overlap,1124.75,194.10755204888207,0.09138126332298202,2195.0,1,2010,4
BUF-SAT,1,438,72727.0,19,165.56372230931333,39,78,115,78,2,0,43,34,1433,0,166.04337899543378,5.112249073468217,0.0776255707762557,1,1,1,True,overlap,506.75,201.2305494420309,0.08424789797036929,1433.0,1,2005,1
BUF-SAT,2,516,98175.99977111821,22,184.64194488525393,46,68,115,69,0,0,43,44,1433,0,190.26356544790352,5.248410297473969,0.08527131782945736,1,1,1,True,overlap,506.75,201.2305494420309,0.08424789797036929,1433.0,1,2005,2
BUF-SAT,3,587,94178.00130462652,21,163.09080033075247,36,138,89,138,0,0,56,34,1433,0,160.43952522082884,5.077917081665541,0.05792163543441227,1,1,1,True,overlap,506.75,201.2305494420309,0.08424789797036929,1433.0,1,2005,3
