route,nq,pax_min,pax_pre,fare_pre,dl_q,nw_q,both_q,legacy_q,dl_any,nw_any,direct,distance,dl_direct,nw_direct,unknown_pax,group,eligible,direct_overlap,original_treated
ORD-SBN,4,20,25.0,165.52195822720853,0,0,0,0,0,0,1.0,84.0,0,0,0,other,False,False,False
ORD-SBP,4,178,219.0,240.38333746070384,0,0,0,0,58,0,0.0,1818.0,0,0,0,other,True,False,False
ORD-SBY,4,62,69.5,168.11904845091766,0,0,0,0,0,0,0.0,701.0,0,0,0,other,False,False,False
ORD-SCC,1,2,2.0,707.0,0,0,0,1,0,0,0.0,2846.0,0,0,0,other,False,False,False
ORD-SCE,4,128,158.25,248.55805403157717,0,0,0,0,24,106,0.0,527.0,0,0,0,other,True,False,False
ORD-SDF,4,1832,2072.25,121.55626675986133,0,0,0,0,30,69,0.9703570594060107,287.0,0,0,0,other,True,False,False
ORD-SDP,1,1,1.0,994.0,0,0,0,0,0,0,0.0,3282.0,0,0,0,other,False,False,False
ORD-SEA,4,7987,10438.0,212.7594065544472,0,0,0,4,352,409,0.931327640151377,1718.0,0,0,0,other,True,False,False
ORD-SFO,4,9687,12829.75,274.4661218011639,0,0,0,4,216,251,0.8813165681189757,1844.0,3,1,0,other,True,False,False
ORD-SGF,4,739,993.5,239.30915567418586,0,0,0,0,0,118,0.9515213972580852,439.0,0,0,0,other,True,False,False
ORD-SGU,4,7,9.75,267.34938415097986,0,0,0,2,15,0,0.0,1406.0,0,0,0,other,False,False,False
ORD-SHD,3,2,3.0,255.83333333333334,0,0,0,0,0,0,0.0,541.0,0,0,0,other,False,False,False
ORD-SHR,3,10,14.666666666666666,276.1929835269326,0,0,0,0,0,0,0.0,976.0,0,0,0,other,False,False,False
ORD-SHV,4,185,403.5,216.905658073627,0,0,0,0,48,138,0.457403289502758,735.0,0,0,0,other,True,False,False
ORD-SIT,3,3,24.666666666666668,309.1501445206352,0,0,0,3,0,0,0.0,2312.0,0,0,0,unexposed_legacy,False,False,False
ORD-SJC,4,4145,4732.25,205.70556528985227,0,0,0,4,171,83,0.8361421873830994,1827.0,35,1,0,other,True,False,False
ORD-SJT,4,36,53.5,214.39671269940465,0,0,0,0,0,0,0.0,1012.0,0,0,0,other,False,False,False
ORD-SJU,4,3074,3771.75,157.2202075048238,0,0,0,4,220,50,0.8437861167522516,0.0,0,0,0,other,True,False,False
ORD-SLC,4,4888,5321.75,189.04519107432984,4,0,0,4,9336,270,0.9335574268612216,1248.0,9177,0,0,other,True,False,False
ORD-SLE,3,17,26.666666666666668,218.43320210774732,0,0,0,0,80,0,0.0,1761.0,0,0,0,other,False,False,False
ORD-SLK,1,2,2.0,249.0,0,0,0,0,0,0,0.0,710.0,0,0,0,other,False,False,False
ORD-SLN,2,3,3.5,157.41666666666669,0,0,0,0,0,0,0.0,559.0,0,0,0,other,False,False,False
ORD-SMF,4,2185,2423.25,249.6362530330182,0,0,0,4,115,46,0.7818789460072159,1780.0,0,2,0,other,True,False,False
ORD-SMX,4,24,38.25,266.78177406202957,0,0,0,0,0,0,0.0,1818.0,0,0,0,other,False,False,False
ORD-SNA,4,7631,8933.0,191.93212340800838,0,0,0,4,147,139,0.9067406169202537,1725.0,29,2,0,other,True,False,False
ORD-SOP,2,1,1.5,156.5,0,0,0,0,2,0,0.0,651.0,0,0,0,other,False,False,False
ORD-SOW,4,1,2.75,208.625,0,0,0,0,0,0,0.0,1311.0,0,0,0,other,False,False,False
ORD-SPI,4,64,95.75,185.69095737381812,0,0,0,0,0,0,0.9825867757766343,174.0,0,0,0,other,False,False,False
ORD-SPS,4,54,59.0,271.66238526166507,0,0,0,0,0,0,0.0,798.0,0,0,0,other,False,False,False
ORD-SRQ,4,261,360.0,166.3150839653945,4,0,0,1,711,25,0.16485451837375856,1053.0,46,0,0,other,True,False,False
ORD-STC,4,34,48.0,131.73949813842773,0,0,0,0,0,192,0.0,0.0,0,0,0,other,False,False,False
ORD-STL,4,7116,8370.25,101.2213686172906,0,0,0,4,0,13,0.9961877172178207,258.0,0,0,0,other,True,False,False
ORD-STS,4,3,5.0,296.4583360883924,0,0,0,0,0,0,0.0,1846.0,0,0,0,other,False,False,False
ORD-STT,4,214,323.0,163.8163293204738,1,0,0,4,42,0,0.1895568195706809,0.0,0,0,0,other,True,False,False
ORD-STX,3,2,7.666666666666667,180.87254872041584,0,0,0,3,0,0,0.0,0.0,0,0,0,unexposed_legacy,False,False,False
ORD-SUN,4,23,36.25,305.50512996514556,0,0,0,0,117,0,0.0,1340.0,0,0,0,other,False,False,False
ORD-SUX,4,15,29.75,300.55806398502887,0,0,0,0,0,117,0.0,435.0,0,0,0,other,False,False,False
ORD-SVC,2,2,2.0,280.5,0,0,0,0,0,0,0.0,1283.0,0,0,0,other,False,False,False
ORD-SWF,4,86,311.0,206.1427401369616,0,0,0,0,9,73,0.6495278932778933,713.0,0,0,0,other,False,False,False
ORD-SYR,4,1522,1884.0,196.33867613853232,0,0,0,0,4,119,0.8466902837540874,606.0,0,3,0,other,True,False,False
ORD-TBN,2,2,6.0,228.449996948242,0,0,0,0,0,0,0.0,369.0,0,0,0,other,False,False,False
ORD-TEX,4,13,30.0,320.3082516079035,0,0,0,0,0,0,0.0,1090.0,0,0,0,other,False,False,False
ORD-TLH,4,330,480.75,202.90656502193283,4,0,0,0,907,555,0.024053030303030302,825.0,38,0,0,other,True,False,False
ORD-TOL,4,579,612.25,138.02149308582335,0,0,0,0,2,52,0.9681044569660544,213.0,0,0,0,other,True,False,False
ORD-TPA,4,9833,11236.0,130.92862963484575,0,0,0,4,1124,363,0.8885950459809793,1015.0,52,0,0,other,True,False,False
ORD-TRI,4,214,222.25,267.8030716687023,0,0,0,0,113,105,0.0,481.0,0,0,0,other,True,False,False
ORD-TTN,3,1,1.6666666666666667,315.3333333333333,1,0,0,0,5,0,0.0,692.0,0,0,0,other,False,False,False
ORD-TUL,4,1793,2179.0,162.01890982006404,0,0,0,4,3,86,0.9591985614909133,586.0,0,0,0,other,True,False,False
ORD-TUP,4,14,35.25,265.8992820381147,0,0,0,0,10,129,0.0,536.0,0,0,0,other,False,False,False
ORD-TUS,4,2767,3297.5,179.5259476490478,0,0,0,4,82,53,0.8385850177028806,1437.0,0,5,0,other,True,False,False
ORD-TVC,4,337,472.5,222.06717683737855,0,1,0,0,0,118,0.9331298787087473,224.0,0,3,0,other,True,False,False
ORD-TVF,4,4,7.5,220.23181915283197,0,0,0,0,0,30,0.0,584.0,0,0,0,other,False,False,False
ORD-TWF,4,5,10.75,353.08398297877096,0,0,0,0,40,0,0.0,1357.0,0,0,0,other,False,False,False
ORD-TXK,4,25,33.25,235.87983213482516,0,0,0,0,0,0,0.0,677.0,0,0,0,other,False,False,False
ORD-TYR,4,81,100.75,210.03313009351848,0,0,0,0,0,0,0.0,783.0,0,0,0,other,False,False,False
ORD-TYS,4,1050,1380.25,215.4581098880464,0,0,0,0,63,80,0.9161325761288568,476.0,0,0,0,other,True,False,False
ORD-UIN,1,10,10.0,160.1999938964846,0,0,0,0,0,0,0.0,222.0,0,0,0,other,False,False,False
ORD-VCT,4,3,9.75,323.1478963867647,0,0,0,0,0,0,0.0,1039.0,0,0,0,other,False,False,False
ORD-VDZ,1,1,1.0,391.0,0,0,0,0,0,0,0.0,2717.0,0,0,0,other,False,False,False
ORD-VEL,1,2,2.0,228.0,0,0,0,0,2,0,0.0,1126.0,0,0,0,other,False,False,False
ORD-VIS,1,5,5.0,267.200012207031,0,0,0,0,0,0,0.0,1724.0,0,0,0,other,False,False,False
ORD-VLD,4,16,24.5,212.05651644607633,0,0,0,0,91,0,0.0,816.0,0,0,0,other,False,False,False
ORD-VPS,4,280,381.0,192.1322095595662,3,4,3,0,249,682,0.2857902143121074,803.0,0,123,0,overlap,True,False,False
ORD-WRG,3,1,1.6666666666666667,317.3333333333333,0,0,0,3,0,0,0.0,2195.0,0,0,0,unexposed_legacy,False,False,False
ORD-WRL,4,2,3.5,262.33333587646473,0,0,0,0,0,0,0.0,1022.0,0,0,0,other,False,False,False
ORD-WYS,1,7,7.0,306.4285757882257,0,0,0,0,7,0,0.0,1178.0,0,0,0,other,False,False,False
ORD-XNA,4,1166,1346.75,287.43016158541036,0,0,0,3,0,86,0.9624998848229638,522.0,0,0,0,other,True,False,False
