route,nq,pax_min,pax_pre,fare_pre,dl_q,nw_q,both_q,legacy_q,dl_any,nw_any,direct,distance,dl_direct,nw_direct,unknown_pax,group,eligible,direct_overlap,original_treated
IND-VPS,4,190,208.5,198.6729114448259,3,4,3,0,248,458,0.010101010101010102,646.0,0,8,0,overlap,True,False,False
JAX-MEM,4,322,421.5,207.0787281386228,4,3,3,0,331,298,0.2222241936840576,576.0,0,265,0,overlap,True,False,False
JAX-MKE,4,593,617.75,177.75761364358786,4,4,4,0,641,793,0.004036751411387034,927.0,0,0,0,overlap,True,False,False
JAX-SEA,4,1506,1604.25,213.82507498771722,4,3,3,4,2734,499,0.0274880431176229,2442.0,149,0,0,overlap,True,False,False
JAX-SLC,4,600,687.5,236.35293170796825,4,3,3,4,1251,188,0.0,1834.0,0,0,0,overlap,True,False,False
JFK-MCI,4,179,272.75,172.12119977216327,4,4,4,3,252,422,0.07346595295473869,1112.0,14,18,0,overlap,True,False,False
JFK-SAT,4,266,337.5,210.45536357751314,3,4,3,4,184,181,0.007303585049580473,1587.0,0,8,0,overlap,True,False,False
JNU-KTN,4,426,487.25,167.98928662502988,0,0,0,4,0,0,0.96964681113488,235.0,0,0,0,unexposed_legacy,True,False,False
JNU-SEA,4,781,1542.0,256.310348429575,0,0,0,4,0,0,0.9308574884836643,909.0,0,0,0,unexposed_legacy,True,False,False
JNU-SIT,4,437,482.75,126.4963722229005,0,0,0,4,0,0,1.0,95.0,0,0,0,unexposed_legacy,True,False,False
KOA-RNO,4,112,156.25,359.05679686144424,0,0,0,4,0,0,0.007336048454469507,2551.0,0,0,0,unexposed_legacy,True,False,False
KOA-SAN,4,626,811.75,281.4006628790658,0,0,0,3,0,0,0.0,2557.0,0,0,0,unexposed_legacy,True,False,False
KTN-SEA,4,437,919.5,237.05585503764513,0,0,0,4,0,0,0.9939124356702085,678.0,0,0,0,unexposed_legacy,True,False,False
KTN-SIT,4,119,142.75,165.26703841853575,0,0,0,4,0,0,0.9119897132630242,184.0,0,0,0,unexposed_legacy,True,False,False
LAS-LGA,4,1179,2192.75,206.4221045679364,4,4,4,4,620,753,0.0781236771375255,2240.0,40,212,0,overlap,True,False,False
